dataset,model,classifier,accuracy,macro_f1,ps_precision,ps_recall,ps_f1,nps_precision,nps_recall,nps_f1,TN,FP,FN,TP,auc
RW_ACTUALS_UK,bert-base-multilingual-uncased,random_forest,0.7348969438521677,0.7276183872419293,0.543978349120433,0.9178082191780822,0.6830926083262532,0.9461077844311377,0.6522187822497421,0.7721441661576055,632,337,36,402,0.8892246396275405
RW_ACTUALS_UK,bert-base-multilingual-uncased,xgboost,0.892679459843639,0.8750888518489122,0.8253968253968254,0.8310502283105022,0.8282138794084187,0.9233954451345756,0.9205366357069144,0.9219638242894056,892,77,74,364,0.9344649900335043
RW_ACTUALS_UK,bert-base-multilingual-uncased,lightgbm,0.892679459843639,0.8752434712705368,0.8239277652370203,0.8333333333333334,0.8286038592508512,0.9242738589211619,0.9195046439628483,0.9218830832902225,891,78,73,365,0.9309024979854955
RW_ACTUALS_UK,paraphrase-multilingual-mpnet-base-v2,svm_linear,0.7967306325515281,0.7506222019503924,0.7087912087912088,0.589041095890411,0.6433915211970075,0.8274209012464045,0.890608875128999,0.8578528827037774,863,106,180,258,0.8721013519563076
RW_ACTUALS_UK,paraphrase-multilingual-mpnet-base-v2,svm_rbf,0.8905472636815921,0.8761987146670567,0.789795918367347,0.8835616438356164,0.834051724137931,0.9443838604143948,0.8937048503611971,0.9183457051961824,866,103,51,387,0.9396708935917554
RW_ACTUALS_UK,paraphrase-multilingual-mpnet-base-v2,random_forest,0.7725657427149965,0.7631173553997289,0.5857558139534884,0.9200913242009132,0.7158081705150977,0.9513212795549374,0.7058823529411765,0.8104265402843601,684,285,35,403,0.900932326787961
RW_ACTUALS_UK,paraphrase-multilingual-mpnet-base-v2,xgboost,0.8919687277896233,0.8746489109792981,0.820627802690583,0.8356164383561644,0.828054298642534,0.9250780437044746,0.9174406604747162,0.9212435233160622,889,80,72,366,0.9415781934018499
RW_ACTUALS_UK,paraphrase-multilingual-mpnet-base-v2,lightgbm,0.8969438521677328,0.8804948555060583,0.8277404921700223,0.8447488584474886,0.8361581920903954,0.9291666666666667,0.9205366357069144,0.9248315189217211,892,77,68,370,0.9388851190560339
RW_ACTUALS_English,xlm-roberta-base,svm_linear,0.7862165963431786,0.7261448640758985,0.7313915857605178,0.5055928411633109,0.5978835978835978,0.8014375561545373,0.9148717948717948,0.8544061302681991,892,83,221,226,0.8557356737222509
RW_ACTUALS_English,xlm-roberta-base,svm_rbf,0.8769338959212377,0.8614774954507729,0.772,0.8635346756152126,0.815205913410771,0.9338394793926247,0.8830769230769231,0.9077490774907749,861,114,61,386,0.9417805311765043
RW_ACTUALS_English,xlm-roberta-base,random_forest,0.80098452883263,0.7905770987122676,0.6246200607902735,0.9194630872483222,0.7438914027149321,0.9528795811518325,0.7466666666666667,0.8372627947096031,728,247,36,411,0.9045878506281192
RW_ACTUALS_English,xlm-roberta-base,xgboost,0.8973277074542897,0.8806182650397341,0.8397291196388262,0.8322147651006712,0.8359550561797753,0.923391215526047,0.9271794871794872,0.925281473899693,904,71,75,372,0.9448402455113865
RW_ACTUALS_English,xlm-roberta-base,lightgbm,0.8973277074542897,0.8809086215797626,0.8366890380313199,0.8366890380313199,0.8366890380313199,0.9251282051282051,0.9251282051282051,0.9251282051282051,902,73,73,374,0.9447094590718752
RW_ACTUALS_Germany,xlm-roberta-base,svm_linear,0.8894483362521891,0.6188189905752366,0.6149425287356322,0.1963302752293578,0.29763560500695413,0.9003186162949477,0.9833457618692518,0.9400023761435191,3956,67,438,107,0.8662568670511531
RW_ACTUALS_Germany,xlm-roberta-base,svm_rbf,0.9509632224168126,0.8851444517031359,0.784070796460177,0.8128440366972477,0.7981981981981981,0.9745191106669997,0.9696743723589362,0.9720907052080737,3901,122,102,443,0.9537127115416628
RW_ACTUALS_Germany,xlm-roberta-base,random_forest,0.9288528896672504,0.8439966613646268,0.6681957186544343,0.8018348623853211,0.7289407839866556,0.9724067450178845,0.9460601541138454,0.9590525387425979,3806,217,108,437,0.9291420661471766
RW_ACTUALS_Germany,xlm-roberta-base,xgboost,0.9566549912434326,0.8941717123827184,0.8382066276803118,0.7889908256880734,0.8128544423440454,0.9716399506781751,0.9793686303753418,0.9754889824213915,3940,83,115,430,0.9472941138909984
RW_ACTUALS_Germany,xlm-roberta-base,lightgbm,0.9518388791593695,0.885773364425432,0.7959927140255009,0.8018348623853211,0.7989031078610603,0.9731276436924609,0.9721600795426298,0.9726436209898035,3911,112,108,437,0.9463390550207864
RW_ACTUALS_Sweden,bert-base-multilingual-uncased,svm_linear,0.9325406454743994,0.49651492298551125,0.3333333333333333,0.014598540145985401,0.027972027972027972,0.9342905816500365,0.9979204574993501,0.9650578179989945,3839,8,270,4,0.8599932832295144
RW_ACTUALS_Sweden,bert-base-multilingual-uncased,svm_rbf,0.9587478767289492,0.8303875444991498,0.6984732824427481,0.6678832116788321,0.6828358208955224,0.976418761337134,0.9794645178060827,0.9779392681027771,3768,79,91,183,0.9359212506095373
RW_ACTUALS_Sweden,bert-base-multilingual-uncased,random_forest,0.9558359621451105,0.8158547819391739,0.6811023622047244,0.6313868613138686,0.6553030303030303,0.973881561934316,0.9789446321809202,0.9764065335753175,3766,81,101,173,0.9297751210062255
RW_ACTUALS_Sweden,bert-base-multilingual-uncased,xgboost,0.963601067702014,0.8397126730060738,0.7767857142857143,0.635036496350365,0.6987951807228916,0.9743392353092122,0.9870028593709383,0.9806301652892561,3797,50,100,174,0.9308182126939373
RW_ACTUALS_Sweden,bert-base-multilingual-uncased,lightgbm,0.9626304295074011,0.8366652254032965,0.7631578947368421,0.635036496350365,0.6932270916334661,0.9743128692525045,0.9859630881206135,0.9801033591731267,3793,54,100,174,0.9332710672265239
