dataset,model,classifier,accuracy,f1_ps,f1_nps,macro_f1,precision_ps,recall_ps,precision_nps,recall_nps,TN,FP,FN,TP,fpr,fnr,roc_auc,training_time
sweden,bert-base-multilingual-uncased,LightGBM,0.9577772385343363,0.6679389312977099,0.9774552993003369,0.8226971152990235,0.7,0.6386861313868614,0.9744252131232239,0.9805042890564076,3772,75,99,175,0.01949571094359241,0.3613138686131387,0.9223838273827933,5.587762355804443
germany,bert-base-multilingual-uncased,SVM,0.8086690017513135,0.4657701711491443,0.8834666666666666,0.6746184189079054,0.34922089825847846,0.6990825688073394,0.9528329019269485,0.823514789957743,3313,710,164,381,0.17648521004225703,0.30091743119266057,0.8454640404828202,8.639417171478271
germany,bert-base-multilingual-uncased,Random_Forest,0.9540280210157618,0.8026315789473685,0.97398414271556,0.8883078608314643,0.8227360308285164,0.7834862385321101,0.9708570017288219,0.9771314939100174,3931,92,118,427,0.0228685060899826,0.21651376146788992,0.9578558609098601,17.622900009155273
germany,bert-base-multilingual-uncased,XGBoost,0.9527145359019265,0.7988826815642457,0.9732076407839246,0.8860451611740852,0.8109640831758034,0.7871559633027523,0.9712800198068829,0.9751429281630624,3923,100,116,429,0.024857071836937607,0.21284403669724772,0.9484480293359057,10.374184846878052
germany,bert-base-multilingual-uncased,LightGBM,0.9468038528896673,0.7800904977375566,0.9697422487859545,0.8749163732617555,0.7696428571428572,0.7908256880733945,0.9715568862275449,0.9679343773303505,3894,129,114,431,0.03206562266964952,0.20917431192660552,0.9422219029570793,6.016870975494385
english,bert-base-multilingual-uncased,SVM,0.7988748241912799,0.7045454545454545,0.847547974413646,0.7760467144795502,0.654510556621881,0.7628635346756152,0.8823529411764706,0.8153846153846154,795,180,106,341,0.18461538461538463,0.2371364653243848,0.8585831469052946,2.640139102935791
english,bert-base-multilingual-uncased,Random_Forest,0.8959212376933896,0.8250591016548464,0.9259259259259259,0.8754925137903862,0.87468671679198,0.7807606263982103,0.9042033235581622,0.9487179487179487,925,50,98,349,0.05128205128205128,0.21923937360178972,0.9470429644926289,3.5124430656433105
english,bert-base-multilingual-uncased,XGBoost,0.8980309423347398,0.8327566320645906,0.926656550328781,0.8797065911966858,0.8595238095238096,0.8076062639821029,0.9141716566866267,0.9394871794871795,916,59,86,361,0.06051282051282051,0.19239373601789708,0.9481259679917398,9.523515939712524
english,bert-base-multilingual-uncased,LightGBM,0.8846694796061885,0.8132118451025057,0.9165818921668362,0.864896868634671,0.8283062645011601,0.7986577181208053,0.9091826437941474,0.9241025641025641,901,74,90,357,0.0758974358974359,0.20134228187919462,0.944622268112201,4.854094743728638
uk,bert-base-multilingual-uncased,SVM,0.7889125799573561,0.6903023983315953,0.8398921832884098,0.7650972908100026,0.6353166986564299,0.7557077625570776,0.8792325056433409,0.803921568627451,779,190,107,331,0.19607843137254902,0.24429223744292236,0.8560913430500775,2.7322518825531006
uk,bert-base-multilingual-uncased,Random_Forest,0.8869936034115139,0.8095808383233533,0.9196563921172309,0.8646186152202922,0.8513853904282116,0.771689497716895,0.900990099009901,0.9391124871001032,910,59,100,338,0.0608875128998968,0.228310502283105,0.9368800392062617,3.7174179553985596
uk,bert-base-multilingual-uncased,XGBoost,0.8884150675195451,0.8172293364377182,0.9196930946291559,0.868461215533437,0.833729216152019,0.8013698630136986,0.9117647058823529,0.9277605779153767,899,70,87,351,0.07223942208462332,0.19863013698630136,0.9362108938744929,7.026028156280518
uk,bert-base-multilingual-uncased,LightGBM,0.8933901918976546,0.824766355140187,0.923391215526047,0.874078785333117,0.8444976076555024,0.8059360730593608,0.9140546006066734,0.932920536635707,904,65,85,353,0.06707946336429309,0.19406392694063926,0.9345780850191554,3.7387077808380127
